line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
1160,见,jiàn,See,לִרְאוֹת,我昨天见到了老朋友,wǒ zuó tiān jiàn dào liǎo lǎo péng yǒu,I met an old friend yesterday,פגשתי חבר ותיק אתמול,7,Group 1,9
1161,讨,tǎo,discuss,לָדוּן,我们讨论了这个问题,wǒ mén tǎo lùn liǎo zhè gè wèn tí,We discussed this issue,דנו בנושא הזה,4,Group 1,9
1162,词,cí,word,מִלָה,这首歌的歌词很好听,zhè shǒu gē de gē cí hěn hǎo tīng,The lyrics of this song are very nice,המילים של השיר הזה מאוד נחמדות,9,Group 1,9
1163,试,shì,try,לְנַסוֹת,我们明天要参加考试,wǒ mén míng tiān yào cān jiā kǎo shì,We have an exam tomorrow,יש לנו מחר מבחן,3,Group 1,9
1164,质,zhì,quality,אֵיכוּת,这件衣服的质量很好,zhè jiàn yī fú de zhì liáng hěn hǎo,The quality of this dress is very good,האיכות של השמלה הזו טובה מאוד,3,Group 1,9
1165,费,fèi,fee,תַשְׁלוּם,水电费每个月都要交,shuǐ diàn fèi měi gè yuè dū yào jiāo,Water and electricity bills must be paid every month,יש לשלם את חשבונות המים והחשמל מדי חודש,3,Group 1,9
1166,跑,pǎo,run,לָרוּץ,孩子们在操场上跑步,hái zǐ mén zài cāo cháng shàng pǎo bù,Children running on the playground,ילדים רצים במגרש המשחקים,2,Group 1,9
1167,迎,yíng,welcome,קַבָּלַת פָּנִים,我们热情迎接了客人,wǒ mén rè qíng yíng jiē liǎo kè rén,We warmly welcomed the guests,קיבלנו בחום את האורחים,4,Group 1,9
1168,遇,yù,Encounter,פְּגִישָׁה,我遇到了一个老朋友,wǒ yù dào liǎo yī gè lǎo péng yǒu,I met an old friend,פגשתי חבר ותיק,2,Group 1,9
1169,遗,yí,Legacy,מוֹרֶשֶׁת,他把钱包遗忘在车上,tā bǎ qián bāo yí wàng zài chē shàng,He left his wallet in the car,הוא השאיר את הארנק שלו במכונית,1,Group 1,9
1170,遥,yáo,remote,מְרוּחָק,山那边的景色很遥远,shān nà biān de jǐng sè hěn yáo yuǎn,The scenery on the other side of the mountain is very far away,הנוף בצד השני של ההר רחוק מאוד,2,Group 1,9
1171,郎,láng,Lang,לאנג,新郎今天看起来很帅,xīn láng jīn tiān kàn qǐ lái hěn shuài,The groom looks very handsome today,החתן נראה מאוד נאה היום,1,Group 1,9
1172,都,dōu,All,כֹּל,我们都去图书馆学习,wǒ mén dū qù tú shū guǎn xué xí,We all go to the library to study,כולנו הולכים לספרייה ללמוד,9,Group 1,9
1173,钢,gāng,steel,פְּלָדָה,这把刀是用钢制成的,zhè bǎ dāo shì yòng gāng zhì chéng de,This knife is made of steel,סכין זו עשויה מפלדה,8,Group 1,9
1174,阅,yuè,read,לִקְרוֹא,他喜欢阅览历史书籍,tā xǐ huān yuè lǎn lì shǐ shū jí,He likes reading history books,הוא אוהב לקרוא ספרי היסטוריה,2,Group 1,9
1175,际,jì,International,בינלאומי,国际会议在北京召开,guó jì huì yì zài běi jīng zhào kāi,International conference held in Beijing,כנס בינלאומי שנערך בבייג'ינג,3,Group 1,9
1176,除,chú,remove,לְהַסִיר,请把地上的垃圾除掉,qǐng bǎ dì shàng de lā jī chú diào,Please remove the garbage on the ground,אנא הסר את האשפה על הקרקע,3,Group 1,9
1177,障,zhàng,barrier,מַחסוֹם,施工现场有安全障碍,shī gōng xiàn cháng yǒu ān quán zhàng ài,There are safety obstacles at the construction site,ישנם מכשולים בטיחותיים באתר הבנייה,2,Group 1,9
1178,预,yù,Pre,מִרֹאשׁ,我们提前预订了酒店,wǒ mén tí qián yù dìng liǎo jiǔ diàn,We booked the hotel in advance,הזמנו את המלון מראש,6,Group 1,9
1179,领,lǐng,collar,קוֹלָר,老师领我们参观学校,lǎo shī lǐng wǒ mén cān guān xué xiào,The teacher took us to visit the school,המורה לקחה אותנו לביקור בבית הספר,1,Group 1,9
1180,黎,lí,Li,לי,黎明时分天空渐渐亮,lí míng shí fēn tiān kōng jiàn jiàn liàng,The sky gradually brightens at dawn,השמיים מתבהרים בהדרגה עם עלות השחר,2,Group 1,9
1181,龄,líng,age,גִיל,她的年龄比我大三岁,tā de nián líng bǐ wǒ dà sān suì,She is three years older than me,היא מבוגרת ממני בשלוש שנים,2,Group 1,9
1182,且,qiě,and,ו,他又高又帅，且很聪明,tā yòu gāo yòu shuài ， qiě hěn cōng míng,"He is tall, handsome and smart","הוא גבוה, נאה וחכם",2,Group 1,10
1183,也,yě,also,גַם,我也想去参加这个活动,wǒ yě xiǎng qù cān jiā zhè gè huó dòng,I also want to attend this event,גם אני רוצה להשתתף באירוע הזה,8,Group 1,10
1184,伙,huǒ,partner,שׁוּתָף,我和几位伙伴一起创业,wǒ hé jī wèi huǒ bàn yī qǐ chuàng yè,I started a business with a few partners,פתחתי עסק עם כמה שותפים,2,Group 1,10
1185,供,gōng,for,עֲבוּר,商店供应各种新鲜水果,shāng diàn gōng yīng gè zhǒng xīn xiān shuǐ guǒ,The store offers a variety of fresh fruits,החנות מציעה מגוון פירות טריים,2,Group 1,10
1186,俗,sú,vulgar,ווּלגָרִי,这个地方的民俗很有趣,zhè gè dì fāng de mín sú hěn yǒu qù,The folk customs of this place are very interesting,המנהגים העממיים של המקום הזה מעניינים מאוד,1,Group 1,10
1187,傅,fù,Fu,פו,老师傅传授了很多技巧,lǎo shī fù chuán shòu liǎo hěn duō jì qiǎo,The master taught me many skills,המאסטר לימד אותי כישורים רבים,3,Group 1,10
1188,卡,kǎ,Card,כַּרְטִיס,他把公交卡忘在家里了,tā bǎ gōng jiāo qiǎ wàng zài jiā lǐ liǎo,He forgot his bus card at home,הוא שכח את כרטיס האוטובוס שלו בבית,1,Group 1,10
1189,卦,guà,hexagram,הקסגרמה,书中讲解了不同的卦象,shū zhōng jiǎng jiě liǎo bù tóng de guà xiàng,The book explains the different hexagrams,הספר מסביר את ההקסגרמות השונות,2,Group 1,10
1190,另,lìng,Other,אַחֵר,我们另找一个地方休息,wǒ mén lìng zhǎo yī gè dì fāng xiū xī,Let's find another place to rest.,בוא נמצא מקום אחר לנוח בו.,3,Group 1,10
1191,哲,zhé,Zhe,Zhe,他是一位著名的哲学家,tā shì yī wèi zhù míng de zhé xué jiā,He is a famous philosopher,הוא פילוסוף מפורסם,2,Group 1,10
1192,嗽,sòu,cough,לְהִשְׁתַעֵל,孩子感冒了，经常咳嗽,hái zǐ gǎn mào liǎo ， jīng cháng ké sòu,The child has a cold and coughs frequently,הילד מתקרר ומשתעל לעיתים קרובות,3,Group 1,10
1193,团,tuán,group,קְבוּצָה,我们组成一个学习团体,wǒ mén zǔ chéng yī gè xué xí tuán tǐ,We form a study group,אנחנו מקימים קבוצת לימוד,3,Group 1,10
1194,均,jūn,all,כֹּל,大家均参加了这次活动,dà jiā jūn cān jiā liǎo zhè cì huó dòng,Everyone participated in this event,כולם השתתפו באירוע הזה,4,Group 1,10
1195,堵,dǔ,block,לַחסוֹם,高速公路因车祸而堵车,gāo sù gōng lù yīn chē huò ér dǔ chē,Highway jammed due to car accident,כביש נתקע עקב תאונת דרכים,2,Group 1,10
1196,境,jìng,territory,שֶׁטַח,环境保护需要大家努力,huán jìng bǎo hù xū yào dà jiā nǔ lì,Environmental protection requires everyone's efforts,הגנת הסביבה דורשת מאמצים של כולם,2,Group 1,10
1197,娘,niáng,mother,אִמָא,娘亲手做了美味的饭菜,niáng qīn shǒu zuò liǎo měi wèi de fàn cài,My mother made delicious meals,אמא שלי הכינה ארוחות טעימות,1,Group 1,10
1198,宫,gōng,palace,אַרְמוֹן,故宫是中国著名的景点,gù gōng shì zhōng guó zhù míng de jǐng diǎn,The Forbidden City is a famous tourist attraction in China,העיר האסורה היא אטרקציה תיירותית מפורסמת בסין,1,Group 1,10
1199,帽,mào,cap,כּוֹבַע,他戴着一顶红色的帽子,tā dài zhuó yī dǐng hóng sè de mào zǐ,He wears a red hat,הוא חובש כובע אדום,2,Group 1,10
1200,惜,xī,Regret,חֲרָטָה,对浪费食物要心生惜意,duì làng fèi shí wù yào xīn shēng xī yì,Be mindful of food waste,שימו לב לבזבוז מזון,2,Group 1,10
1201,憾,hàn,regret,חֲרָטָה,错过机会让他感到憾事,cuò guò jī huì ràng tā gǎn dào hàn shì,He regretted missing the opportunity.,הוא הצטער על החמצת ההזדמנות.,1,Group 1,10
1202,或,huò,or,אוֹ,或许明天会有新的机会,huò xǔ míng tiān huì yǒu xīn de jī huì,Maybe there will be new opportunities tomorrow,אולי מחר יהיו הזדמנויות חדשות,1,Group 1,10
1203,摩,mó,Mount,הַר,她在摩擦桌子上的灰尘,tā zài mó cā zhuō zǐ shàng de huī chén,She is rubbing the dust off the table,היא משפשפת את האבק מהשולחן,6,Group 1,10
1204,旗,qí,flag,דֶגֶל,国旗在广场上迎风飘扬,guó qí zài guǎng cháng shàng yíng fēng piāo yáng,The national flag flutters in the wind in the square,דגל הלאום מתנופף ברוח בכיכר,1,Group 1,10
1205,易,yì,easy,קַל,这个问题并不容易解决,zhè gè wèn tí bìng bù róng yì jiě jué,This problem is not easy to solve,בעיה זו אינה קלה לפתרון,2,Group 1,10
1206,柿,shì,persimmon,אֲפַרסְמוֹן,秋天是吃柿子的好季节,qiū tiān shì chī shì zǐ de hǎo jì jié,Autumn is a good season for eating persimmons,הסתיו הוא עונה טובה לאכילת אפרסמונים,2,Group 1,10
1207,梯,tī,ladder,סוּלָם,楼梯很长，要小心上下,lóu tī hěn cháng ， yào xiǎo xīn shàng xià,"The stairs are long, be careful when going up and down","המדרגות ארוכות, היזהר כשעולים ויורדים",1,Group 1,10
1208,母,mǔ,mother,אִמָא,母亲为我们准备了早餐,mǔ qīn wéi wǒ mén zhǔn bèi liǎo zǎo cān,Mother prepared breakfast for us,אמא הכינה לנו ארוחת בוקר,3,Group 1,10
1209,民,mín,civil,אֶזרָחִי,民众积极参与社区活动,mín zhòng jī jí cān yǔ shè qū huó dòng,People actively participate in community activities,אנשים משתתפים באופן פעיל בפעילויות קהילתיות,3,Group 1,10
1210,永,yǒng,forever,לָנֶצַח,友谊是永恒的宝贵财富,yǒu yì shì yǒng héng de bǎo guì cái fù,Friendship is an eternal and precious treasure,חברות היא אוצר נצחי ויקר,1,Group 1,10
1211,汉,hàn,Chinese,סִינִית,汉字是中国的书写文字,hàn zì shì zhōng guó de shū xiě wén zì,Chinese characters are the written language of China,תווים סיניים הם השפה הכתובה של סין,2,Group 1,10
1212,泰,tài,Thai,תאילנדית,泰山是著名的旅游胜地,tài shān shì zhù míng de lǚ yóu shèng dì,Mount Tai is a famous tourist destination,הר טאי הוא יעד תיירותי מפורסם,1,Group 1,10
1213,烦,fán,bother,לְהטרִיד,他因为作业太多而烦恼,tā yīn wéi zuò yè tài duō ér fán nǎo,He is troubled by too much homework,הוא מוטרד משיעורי בית רבים מדי,2,Group 1,10
1214,界,jiè,boundary,גְבוּל,科学界有很多杰出人物,kē xué jiè yǒu hěn duō jié chū rén wù,There are many outstanding people in the scientific community,יש הרבה אנשים מצטיינים בקהילה המדעית,3,Group 1,10
1215,祖,zǔ,Ancestor,אָב קַדמוֹן,祖父常讲他的年轻故事,zǔ fù cháng jiǎng tā de nián qīng gù shì,My grandfather often tells stories about his youth,סבי מרבה לספר סיפורים על נעוריו,2,Group 1,10
1216,科,kē,division,חֲלוּקָה,他在生物科取得好成绩,tā zài shēng wù kē qǔ dé hǎo chéng jì,He achieved good results in biology,הוא השיג תוצאות טובות בביולוגיה,2,Group 1,10
1217,秘,mì,secret,סוֹד,这个秘密不能告诉别人,zhè gè mì mì bù néng gào sù bié rén,This secret cannot be told to others,את הסוד הזה אי אפשר לספר לאחרים,1,Group 1,10
1218,究,jiū,Research,מֶחקָר,他在实验室里深入研究,tā zài shí yàn shì lǐ shēn rù yán jiū,He conducted in-depth research in the laboratory,הוא ערך מחקר מעמיק במעבדה,10,Group 1,10
1219,笔,bǐ,Pen,עֵט,我用笔写下今天的日记,wǒ yòng bǐ xiě xià jīn tiān de rì jì,I write today's diary with a pen,אני כותב את היומן של היום בעט,2,Group 1,10
1220,紧,jǐn,tight,צָמוּד,他握紧拳头，准备迎战,tā wò jǐn quán tóu ， zhǔn bèi yíng zhàn,"He clenched his fists, ready to fight","הוא קפץ את אגרופיו, מוכן להילחם",2,Group 1,10
1221,胡,hú,Hu,הו,胡椒可以增加菜的香味,hú jiāo kě yǐ zēng jiā cài de xiāng wèi,Pepper can add flavor to dishes,פלפל יכול להוסיף טעם למנות,2,Group 1,10
1222,腐,fǔ,Corruption,שְׁחִיתוּת,食物如果不新鲜会腐烂,shí wù rú guǒ bù xīn xiān huì fǔ làn,"If food is not fresh, it will rot","אם האוכל לא טרי, הוא ירקב",2,Group 1,10
1223,西,xī,West,מַעֲרָב,我们向西走就能到公园,wǒ mén xiàng xī zǒu jiù néng dào gōng yuán,We can reach the park by walking west,נוכל להגיע לפארק בהליכה מערבה,12,Group 1,10
1224,论,lùn,Argument,טַעֲנָה,我们展开了激烈的论辩,wǒ mén zhǎn kāi liǎo jī liè de lùn biàn,We had a heated debate,היה לנו ויכוח סוער,10,Group 1,10
1225,译,yì,Translation,תִרגוּם,他正在译一篇英文文章,tā zhèng zài yì yī piān yīng wén wén zhāng,He is translating an English article,הוא מתרגם מאמר באנגלית,2,Group 1,10
1226,谊,yì,friendship,חֲבֵרוּת,友谊是人生宝贵的财富,yǒu yì shì rén shēng bǎo guì de cái fù,Friendship is a precious treasure in life,חברות היא אוצר יקר בחיים,2,Group 1,10
1227,谐,xié,Harmony,הַרמוֹנִיָה,这部电影非常幽默谐趣,zhè bù diàn yǐng fēi cháng yōu mò xié qù,This movie is very humorous and funny,הסרט הזה מאוד הומוריסטי ומצחיק,1,Group 1,10
1228,象,xiàng,elephant,פִּיל,大象是体型巨大的动物,dà xiàng shì tǐ xíng jù dà de dòng wù,Elephants are huge animals,פילים הם חיות ענקיות,4,Group 1,10
1229,财,cái,fiscal,פִיסקָלִי,他努力工作积累了财富,tā nǔ lì gōng zuò jī léi liǎo cái fù,He worked hard to accumulate wealth,הוא עבד קשה כדי לצבור עושר,5,Group 1,10
1230,资,zī,Funding,מימון,他有丰富的工作经验资,tā yǒu fēng fù de gōng zuò jīng yàn zī,He has extensive work experience,יש לו ניסיון עבודה רב,1,Group 1,10
1231,转,zhuǎn,change,לְשַׁנוֹת,他转过街角看到了朋友,tā zhuǎn guò jiē jiǎo kàn dào liǎo péng yǒu,He turned the corner and saw his friend,הוא פנה לפינה וראה את חברו,2,Group 1,10
1232,达,dá,Da,דה,我们终于达到了目的地,wǒ mén zhōng yú dá dào liǎo mù de dì,We finally reached our destination,סוף סוף הגענו ליעד,2,Group 1,10
1233,选,xuǎn,select,לִבחוֹר,我们要选出优秀的代表,wǒ mén yào xuǎn chū yōu xiù de dài biǎo,We need to select outstanding representatives,אנחנו צריכים לבחור נציגים מצטיינים,1,Group 1,10
1234,部,bù,department,מַחלָקָה,这个部门负责管理文件,zhè gè bù mén fù zé guǎn lǐ wén jiàn,This department is responsible for managing documents,מחלקה זו אחראית על ניהול המסמכים,3,Group 1,10
1235,醋,cù,vinegar,חוֹמֶץ,他在炒菜时加了一点醋,tā zài chǎo cài shí jiā liǎo yī diǎn cù,He added a little vinegar when cooking,הוא הוסיף מעט חומץ בעת הבישול,1,Group 1,10
1236,雕,diāo,carving,גִילוּף,博物馆里有精美的雕塑,bó wù guǎn lǐ yǒu jīng měi de diāo sù,There are beautiful sculptures in the museum,יש פסלים יפים במוזיאון,1,Group 1,10
1237,青,qīng,green,יָרוֹק,青山绿水令人心旷神怡,qīng shān lǜ shuǐ líng rén xīn kuàng shén yí,Green mountains and clear waters are refreshing,הרים ירוקים ומים צלולים מרעננים,1,Group 1,10
1238,静,jìng,quiet,שֶׁקֶט,夜晚很静，只有虫鸣声,yè wǎn hěn jìng ， zhī yǒu chóng míng shēng,"The night is very quiet, with only the sound of insects","הלילה שקט מאוד, עם רק קולות של חרקים",3,Group 1,10
1239,革,gé,leather,עוֹר,他买了一件真皮革外套,tā mǎi liǎo yī jiàn zhēn pí gé wài tào,He bought a real leather jacket,הוא קנה מעיל עור אמיתי,2,Group 1,10
1240,食,shí,Food,מָזוֹן,健康的食物对身体有益,jiàn kāng de shí wù duì shēn tǐ yǒu yì,Healthy food is good for the body,אוכל בריא טוב לגוף,3,Group 1,10
1241,饭,fàn,meal,אֲרוּחָה,我每天中午吃一碗米饭,wǒ měi tiān zhōng wǔ chī yī wǎn mǐ fàn,I eat a bowl of rice at noon every day,אני אוכל קערת אורז בצהריים כל יום,5,Group 1,10
1242,七,qī,seven,שבעה,七天的假期很快就过去了,qī tiān de jiǎ qī hěn kuài jiù guò qù liǎo,The seven-day holiday passed quickly.,החג בן שבעת הימים חלף במהירות.,2,Group 1,11
1243,仅,jǐn,only,רַק,我仅有一点时间可以帮你,wǒ jǐn yǒu yī diǎn shí jiān kě yǐ bāng nǐ,I only have a little time to help you.,יש לי רק קצת זמן לעזור לך.,2,Group 1,11
1244,俑,yǒng,Terracotta Warriors,לוחמי טרקוטה,兵马俑是中国著名的文物,bīng mǎ yǒng shì zhōng guó zhù míng de wén wù,The Terracotta Army is a famous Chinese cultural relic,צבא הטרקוטה הוא שריד תרבותי סיני מפורסם,2,Group 1,11
1245,再,zài,Again,שׁוּב,明天我们再讨论这个问题,míng tiān wǒ mén zài tǎo lùn zhè gè wèn tí,We'll discuss this issue tomorrow,נדון בנושא הזה מחר,6,Group 1,11
1246,列,liè,List,רְשִׁימָה,火车按顺序排列在站台上,huǒ chē àn shùn xù pái liè zài zhàn tái shàng,Trains are lined up on the platform in order,רכבות מסודרות על הרציף לפי הסדר,4,Group 1,11
1247,厂,chǎng,factory,מִפְעָל,工厂每天生产数千件产品,gōng chǎng měi tiān shēng chǎn shù qiān jiàn chǎn pǐn,The factory produces thousands of products every day,המפעל מייצר אלפי מוצרים מדי יום,2,Group 1,11
1248,宵,xiāo,night,לַיְלָה,我们在宵夜时分享了零食,wǒ mén zài xiāo yè shí fēn xiǎng liǎo líng shí,We shared a late-night snack,חלקנו חטיף בשעות הלילה המאוחרות,1,Group 1,11
1249,悔,huǐ,regret,חֲרָטָה,他为自己的错误感到悔恨,tā wéi zì jǐ de cuò wù gǎn dào huǐ hèn,He regretted his mistake,הוא התחרט על טעותו,3,Group 1,11
1250,旧,jiù,old,יָשָׁן,旧书店里有很多经典书籍,jiù shū diàn lǐ yǒu hěn duō jīng diǎn shū jí,There are many classic books in the second-hand bookstore,יש הרבה ספרים קלאסיים בחנות הספרים יד שנייה,2,Group 1,11
1251,普,pǔ,general,כְּלָלִי,普通话是全国通用的语言,pǔ tōng huà shì quán guó tōng yòng de yǔ yán,Mandarin is the national language,מנדרינית היא השפה הלאומית,2,Group 1,11
1252,梦,mèng,Dream,חֲלוֹם,昨晚我做了一个奇怪的梦,zuó wǎn wǒ zuò liǎo yī gè qí guài de mèng,I had a strange dream last night,חלמתי חלום מוזר אתמול בלילה,2,Group 1,11
1253,死,sǐ,die,לָמוּת,树叶落下，像死去的生命,shù yè luò xià ， xiàng sǐ qù de shēng mìng,The leaves fall like dead life,העלים נושרים כמו חיים מתים,2,Group 1,11
1254,盹,dǔn,nap,תְנוּמָה,上课时他忍不住打了个盹,shàng kè shí tā rěn bù zhù dǎ liǎo gè dǔn,He couldn't help taking a nap during class,הוא לא יכול היה שלא לנמנם במהלך השיעור,2,Group 1,11
1255,统,tǒng,System,מַעֲרֶכֶת,国家需要一个统一的制度,guó jiā xū yào yī gè tǒng yī de zhì dù,The country needs a unified system,המדינה צריכה מערכת מאוחדת,1,Group 1,11
1256,裹,guǒ,wrap,לַעֲטוֹף,小孩被棉被裹得严严实实,xiǎo hái bèi mián bèi guǒ dé yán yán shí shí,The child was wrapped tightly in a quilt,הילד היה עטוף היטב בשמיכה,2,Group 1,11
1257,颐,yí,Yi,יי,老人安享晚年，颐养天年,lǎo rén ān xiǎng wǎn nián ， yí yǎng tiān nián,The elderly enjoy their old age and live out their years,הקשישים נהנים מזקנה וחיים את שנותיהם,1,Group 1,11
1258,骄,jiāo,arrogant,יָהִיר,他为自己的成绩感到骄傲,tā wéi zì jǐ de chéng jì gǎn dào jiāo ào,He is proud of his achievements,הוא גאה בהישגיו,1,Group 1,11
1259,女,nǚ,female,נְקֵבָה,她是一位非常优秀的女老师,tā shì yī wèi fēi cháng yōu xiù de nǚ lǎo shī,She is a very good female teacher.,היא מורה אישה טובה מאוד.,4,Group 1,12
1260,彩,cǎi,color,צֶבַע,彩虹挂在天空中，非常美丽,cǎi hóng guà zài tiān kōng zhōng ， fēi cháng měi lì,"The rainbow is hanging in the sky, very beautiful","הקשת תלויה בשמיים, יפה מאוד",1,Group 1,12
1261,愉,yú,Happy,שַׂמֵחַ,愉快的假期让大家充满动力,yú kuài de jiǎ qī ràng dà jiā chōng mǎn dòng lì,A happy holiday makes everyone full of motivation,חג שמח גורם לכולם להיות מלאי מוטיבציה,2,Group 1,12
1262,扮,bàn,Play,לְשַׂחֵק,他扮成了超级英雄参加派对,tā bàn chéng liǎo chāo jí yīng xióng cān jiā pài duì,He dressed up as a superhero for the party,הוא התחפש לגיבור על למסיבה,1,Group 1,12
1263,括,kuò,include,לִכלוֹל,说明书上括号里有注意事项,shuō míng shū shàng kuò hào lǐ yǒu zhù yì shì xiàng,There are precautions in brackets on the instructions,יש אמצעי זהירות בסוגריים בהוראות,3,Group 1,12
1264,据,jù,according to,לְפִי,根据天气预报，明天会下雨,gēn jù tiān qì yù bào ， míng tiān huì xià yǔ,"According to the weather forecast, it will rain tomorrow","על פי תחזית מזג האוויר, מחר יירד גשם",2,Group 1,12
1265,摄,shè,Photo,תַצלוּם,他用相机摄下了美丽的风景,tā yòng xiāng jī shè xià liǎo měi lì de fēng jǐng,He captured the beautiful scenery with his camera,הוא לכד את הנוף היפה עם המצלמה שלו,5,Group 1,12
1266,救,jiù,save,לְהַצִיל,消防员迅速救出了被困的人,xiāo fáng yuán xùn sù jiù chū liǎo bèi kùn de rén,Firefighters quickly rescued the trapped people,לוחמי האש חילצו במהירות את הלכודים,3,Group 1,12
1267,曲,qǔ,song,שִׁיר,他在钢琴上演奏了一首曲子,tā zài gāng qín shàng yǎn zòu liǎo yī shǒu qū zǐ,He played a piece of music on the piano,הוא ניגן קטע מוזיקלי על הפסנתר,9,Group 1,12
1268,村,cūn,village,כְּפָר,我们村里有一条清澈的小河,wǒ mén cūn lǐ yǒu yī tiáo qīng chè de xiǎo hé,There is a clear river in our village,יש נהר צלול בכפר שלנו,3,Group 1,12
1269,争,zhēng,Fight,מַאֲבָק,他们为了最后的胜利争论不休,tā mén wéi liǎo zuì hòu de shèng lì zhēng lùn bù xiū,They argued endlessly for the final victory,הם התווכחו בלי סוף על הניצחון הסופי,1,Group 1,13
1270,仙,xiān,Immortal,אַלְמוֹתִי,传说中有许多神仙居住在山上,chuán shuō zhōng yǒu xǔ duō shén xiān jū zhù zài shān shàng,"According to legend, many gods live on the mountain.","על פי האגדה, אלים רבים חיים על ההר.",1,Group 1,13
1271,您,nín,you,אַתָה,您好，请问这里是图书馆吗？,nín hǎo ， qǐng wèn zhè lǐ shì tú shū guǎn má ？,"Hello, is this a library?","שלום, זו ספריה?",6,Group 1,13
1272,慈,cí,Kindness,חֶסֶד,慈祥的老人微笑着看着孩子们,cí xiáng de lǎo rén wēi xiào zhuó kàn zhuó hái zǐ mén,The kind old man smiled at the children,הזקן החביב חייך אל הילדים,2,Group 1,13
1273,济,jì,Ji,ג'י,他积极参加公益活动济困助人,tā jī jí cān jiā gōng yì huó dòng jì kùn zhù rén,He actively participated in charity activities to help the poor,הוא השתתף באופן פעיל בפעילויות צדקה כדי לעזור לעניים,3,Group 1,13
1274,申,shēn,state,מְדִינָה,请在表格上填写个人信息申报,qǐng zài biǎo gé shàng tián xiě gè rén xìn xī shēn bào,Please fill in the personal information declaration form,נא למלא את טופס הצהרת המידע האישי,1,Group 1,13
1275,谈,tán,talk,לְדַבֵּר,我们谈了很多关于工作的事情,wǒ mén tán liǎo hěn duō guān yú gōng zuò de shì qíng,We talked a lot about work,דיברנו הרבה על עבודה,2,Group 1,13
1276,较,jiào,Comparison,השוואה,这两件衣服比较起来哪个好看,zhè liǎng jiàn yī fú bǐ jiào qǐ lái nǎ gè hǎo kàn,Which of these two clothes looks better?,איזה משני הבגדים האלה נראה טוב יותר?,2,Group 1,13
1277,其,qí,That,זֶה,他的计划令人印象深刻，其方法很特别,tā de jì huá líng rén yìn xiàng shēn kè ， qí fāng fǎ hěn tè bié,His plan is impressive and his approach is unique.,התוכנית שלו מרשימה והגישה שלו ייחודית.,6,Group 1,17
1278,庭,tíng,court,לְחַזֵר,院子里种满了花草，形成了一个漂亮的庭院,yuàn zǐ lǐ zhǒng mǎn liǎo huā cǎo ， xíng chéng liǎo yī gè piāo liàng de tíng yuàn,"The yard is full of flowers and plants, forming a beautiful courtyard",החצר מלאה בפרחים וצמחים ויוצרת חצר יפהפיה,2,Group 1,19
1279,电视机,diànshìjī,television (set),טלוויזיה (מכשיר),看电视,kàn diànshì,watch TV,לצפות בטלוויזיה,0,Group 1,3
1280,对联(儿),duìlián,"couplet (written on scrolls, etc.).",צמד המילים (כתוב על מגילות וכו').,贴对联,tiē duìlián,Posting couplets,פרסום צמדי צמדים,0,Group 1,3
1281,饭馆(儿),fànguǎn(r),restaurant.,מִסעָדָה.,去饭馆,qù fànguǎn,Go to a restaurant,לך למסעדה,0,Group 1,3
1282,连...也,lián...yě,even...,אֲפִילוּ...,连他也,lián tā yě,Even he,אפילו הוא,0,Group 1,3
1283,淋(湿),lín(shī),"drench, get wet (in rain)","להטביע, להירטב (בגשם)",淋湿了,línshī le,Wet,רָטוֹב,0,Group 1,3
1284,鞋带儿,xiédàir,shoelace;,שׂרוֹך;,系鞋带,jì xiédài,Lace up,שרוכים,0,Group 1,3
1285,越...越...,yuè...yuè,the more... the more,כמה שיותר... יותר,越说越乱,yuè shuō yuè luàn,"The more you talk, the more confused you become.","ככל שאתה מדבר יותר, אתה מתבלבל יותר.",0,Group 1,4
1286,爱情,àiqíng,love,אַהֲבָה,情爱甚笃,"qíng'ài shèn dǔ
",Deep love,אהבה עמוקה,0,Group 1,4
1287,差(一)点儿,chà(yī)diǎnr,almost; nearly; barely,כִּמעַט; כִּמעַט; בְּקוֹשִׁי,差一点儿,chà yīdiǎnr,Almost,כִּמעַט,0,Group 1,4
1288,器,qì,Device,הֶתקֵן,这套厨具非常实用,zhè tào chú jù fēi cháng shí yòng,This kitchen set is very practical,סט מטבח זה הוא פרקטי מאוד,0,Group 1,8
1289,迹,jì,trace,זֵכֶר,脚印显示有人经过,jiǎo yìn xiǎn shì yǒu rén jīng guò,Footprints show someone passing by,עקבות הרגל מראים מישהו עובר ליד,1,Group 1,8
1290,所,suǒ,Place,מָקוֹם,学校是学习知识的地方,xué xiào shì xué xí zhī shí de dì fāng,School is a place to learn knowledge,בית הספר הוא מקום ללמוד בו ידע,1,Group 1,10
1291,书,shū,book;,סֵפֶר;,这本书很好看,zhè běn shū hěn hǎo kàn,This book is very good,הספר הזה טוב מאוד,6,Group 2,6
1292,孩子,háizǐ,child;,יֶלֶד;,快要生孩子了,kuài yào shēng hái zǐ liǎo,I'm about to give birth,אני עומדת ללדת,14,Group 2,6
1293,得,děi,"need; must, have to.","צוֹרֶך; חייב, חייב.",你得小心。,Nǐ dé xiǎoxīn.,You have to be careful.,אתה צריך להיות זהיר.,18,Group 2,5
